"location","iso_code","date","continent","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million","region_name","region_code","jurisdiction","c1_school_closing","c1_flag","c2_workplace_closing","c2_flag","c3_cancel_public_events","c3_flag","c4_restrictions_on_gatherings","c4_flag","c5_close_public_transport","c5_flag","c6_stay_at_home_requirements","c6_flag","c7_restrictions_on_internal_movement","c7_flag","c8_international_travel_controls","e1_income_support","e1_flag","e2_debt/contract_relief","e3_fiscal_measures","e4_international_support","h1_public_information_campaigns","h1_flag","h2_testing_policy","h3_contact_tracing","h4_emergency_investment_in_healthcare","h5_investment_in_vaccines","h6_facial_coverings","h6_flag","h7_vaccination_policy","h7_flag","h8_protection_of_elderly_people","h8_flag","m1_wildcard","v1_vaccine_prioritisation_(summary)","v2_a_vaccine_availability_(summary)","v2_b_vaccine_age_eligibility/availability_age_floor_(general_population_summary)","v2_c_vaccine_age_eligibility/availability_age_floor_(at_risk_summary)","v2_d_medically/_clinically_vulnerable_(non-elderly)","v2_e_education","v2_f_frontline_workers__(non_healthcare)","v2_g_frontline_workers__(healthcare)","v3_vaccine_financial_support_(summary)","v4_mandatory_vaccination_(summary)","confirmed_cases","confirmed_deaths","stringency_index","stringency_index_for_display","stringency_legacy_index","stringency_legacy_index_for_display","government_response_index","government_response_index_for_display","containment_health_index","containment_health_index_for_display","economic_support_index","economic_support_index_for_display","lat_raw","long_raw","obesity_prevalence","latitude","longitude","c2_workplace_closing_cubed","c6_stay_at_home_requirements_cubed","c7_restrictions_on_internal_movement_cubed","h6_facial_coverings_cubed","cum_c2_workplace_closing","cum_c6_stay_at_home_requirements","cum_c7_restrictions_on_internal_movement","cum_h6_facial_coverings","cum_c2_workplace_closing_cubed","cum_c6_stay_at_home_requirements_cubed","cum_c7_restrictions_on_internal_movement_cubed","cum_h6_facial_coverings_cubed","sub_stringency","sub_stringency_cubed","lockdowns","lockdowns_cubed","first_death_date","date_first_death_days","stringency"
"Moldova","MDA","2020-12-30","Europe",143841,990,804,2960,26,19.286,35745.553,246.022,199.8,735.582,6.461,4.793,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,3194,NA,0.794,2552,0.634,0.315,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4024025,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,NA,NA,NA,NA,"","","NAT_TOTAL",1,1,2,1,2,1,4,1,0,NA,1,0,1,0,3,1,0,1,0,0,2,1,2,2,0,0,3,1,0,NA,3,1,NA,0,0,"","",NA,NA,NA,NA,0,NA,143841,2960,57.41,57.41,61.9,61.9,58.33,58.33,61.31,61.31,37.5,37.5,47,29,18.9,47,29,8,1,1,27,529,252,317,491,1933,570,1007,2429,1589,5939,781,2503,"2020-03-18",32.45833333333333,87.04
"Netherlands","NLD","2020-12-30","Europe",798415,9692,9210.714,11351,112,84,46492.205,564.371,536.346,660.976,6.522,4.891,0.88,712,41.46,2002,116.578,353,20.555,2086,121.469,6190570,62566,360.481,3.643,51379,2.992,0.139,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17173094,508.544,43.2,18.779,11.881,48472.545,NA,109.361,5.29,24.4,27.3,NA,3.32,82.28,0.944,NA,NA,NA,NA,"","","NAT_TOTAL",3,1,3,1,2,1,4,1,1,1,1,1,1,1,3,2,1,1,0,0,2,1,2,1,0,0,2,1,0,NA,2,1,NA,1,0,"","",NA,NA,NA,NA,0,NA,796981,11324,78.7,78.7,86.9,86.9,68.23,68.23,67.26,67.26,75,75,52.5,5.75,20.4,52.5,5.75,27,1,1,8,622,343,170,426,2998,637,170,1704,1561,5509,965,3635,"2020-03-06",20.458333333333332,78.7
"Norway","NOR","2020-12-30","Europe",49010,732,507.857,436,3,2.143,8966.946,133.928,92.918,79.771,0.549,0.392,1.12,NA,NA,145,26.529,NA,NA,NA,NA,2728073,19102,499.132,3.495,13450,2.461,0.033,30.3,2328,2328,NA,NA,470,318,0.04,0.04,NA,NA,58,318,0.006,5465629,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,NA,3.6,82.4,0.957,NA,NA,NA,NA,"","","NAT_TOTAL",1,1,2,0,2,1,4,0,0,NA,1,1,1,1,2,2,0,0,0,0,2,1,2,2,0,0,2,0,1,1,2,1,NA,1,1,"","",0,0,0,0,5,NA,49010,436,56.02,56.02,59.52,59.52,54.38,54.38,56.79,56.79,37.5,37.5,62,10,23.1,62,10,8,1,1,8,430,56,280,204,1234,56,490,594,970,2374,486,1290,"2020-03-14",28.458333333333332,79.63
"Poland","POL","2020-12-30","Europe",1281414,12780,7790.143,28019,565,252,33902.532,338.122,206.105,741.302,14.948,6.667,1.01,NA,NA,17228,455.803,NA,NA,NA,NA,NA,NA,NA,NA,35765,0.946,0.2178,4.6,36300,36300,NA,NA,30000,17150,0.1,0.1,NA,NA,454,17150,0.045,37797000,124.027,41.8,16.763,10.202,27216.445,NA,227.331,5.91,23.3,33.1,NA,6.62,78.73,0.88,NA,NA,NA,NA,"","","NAT_TOTAL",3,1,2,1,2,1,4,1,1,1,1,1,1,1,3,2,1,1,0,0,2,1,2,1,0,0,3,1,2,1,3,1,NA,1,1,"60-64 yrs","60-64 yrs",0,0,0,1,5,NA,1281414,28019,75,75,83.33,83.33,72.29,72.29,71.9,71.9,75,75,52,20,23.1,52,20,8,1,1,27,512,148,213,708,2048,268,591,5682,1581,8589,660,2316,"2020-03-12",26.458333333333332,87.04
"Portugal","PRT","2020-12-30","Europe",406051,6049,3256.143,6830,79,69.571,39934.508,594.91,320.237,671.72,7.77,6.842,1.24,487,47.896,2896,284.817,NA,NA,NA,NA,5645083,44546,555.185,4.381,29047,2.857,0.1121,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10167923,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,NA,3.39,82.05,0.864,NA,NA,NA,NA,"","","NAT_TOTAL",1,1,2,1,2,1,4,1,1,1,2,0,0,NA,3,1,1,2,0,0,2,1,3,1,0,0,3,1,2,1,2,1,NA,1,1,"","",0,0,2,2,5,NA,406051,6830,63.89,63.89,73.81,73.81,66.04,66.04,64.76,64.76,75,75,39.5,-8,20.8,39.5,8,8,8,0,27,634,293,84,548,3226,983,222,3152,1559,7583,927,4209,"2020-03-17",31.458333333333332,87.96
"Romania","ROU","2020-12-30","Europe",627941,4875,3384.286,15596,127,118.571,32828.758,254.865,176.93,815.359,6.64,6.199,0.9,1149,60.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12524,0.655,0.2702,3.7,5666,5666,NA,NA,2888,1567,0.03,0.03,NA,NA,82,1567,0.008,19127772,85.129,43,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,NA,6.892,76.05,0.828,NA,NA,NA,NA,"","","NAT_TOTAL",3,1,2,1,2,1,4,1,0,NA,2,0,2,1,3,2,0,2,0,0,2,1,2,2,0,0,4,1,1,1,1,1,NA,1,1,"","",0,0,0,1,5,NA,627941,15596,76.85,76.85,78.57,78.57,74.17,74.17,72.26,72.26,87.5,87.5,46,25,22.5,46,25,8,8,8,64,476,357,225,379,1568,1107,873,4537,1437,8085,833,2675,"2020-03-22",36.45833333333333,87.04
"Russia","RUS","2020-12-30","Europe",3100018,26095,27831.714,55692,585,554.571,21245.802,178.841,190.743,381.682,4.009,3.801,0.97,NA,NA,NA,NA,NA,NA,NA,NA,90648889,445015,621.257,3.05,438669,3.006,0.0634,15.8,NA,NA,NA,NA,NA,68000,NA,NA,NA,NA,466,68000,0.047,145912022,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,NA,8.05,72.58,0.824,NA,NA,NA,NA,"","","NAT_TOTAL",2,0,2,0,2,0,3,0,0,NA,1,0,0,NA,3,1,0,1,0,0,2,1,3,2,0,0,2,1,0,NA,2,0,NA,1,1,"","",1,1,0,2,5,NA,3100018,55692,47.69,47.69,52.38,52.38,50.26,50.26,52.08,52.08,37.5,37.5,60,100,23.1,60,100,8,1,0,8,621,305,338,597,3129,1865,1352,3663,1861,10009,926,4994,"2020-03-19",33.45833333333333,87.04
"Serbia","SRB","2020-12-30","Europe",334991,3236,3248.286,3163,44,47.143,48750.449,470.927,472.715,460.304,6.403,6.861,0.73,269,39.147,9014,1311.786,NA,NA,NA,NA,2283406,14444,332.299,2.102,13629,1.983,0.2383,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6871547,80.291,41.2,17.366,NA,14048.881,NA,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,NA,NA,NA,NA,"","","NAT_TOTAL",2,1,2,1,2,1,4,1,0,NA,1,1,1,1,1,2,0,1,0,0,2,1,2,2,0,0,3,1,1,1,2,1,NA,1,0,"","",NA,NA,NA,NA,0,NA,334991,3163,60.19,60.19,63.1,63.1,62.19,62.19,62.14,62.14,62.5,62.5,44,21,21.5,44,21,8,1,1,27,556,394,294,484,2674,1612,654,3706,1728,8646,950,4286,"2020-03-20",34.45833333333333,100
"Slovakia","SVK","2020-12-30","Europe",262688,9743,4850,2065,82,54.143,48206.09,1787.946,890.027,378.95,15.048,9.936,1.16,229,42.024,2245,411.982,NA,NA,NA,NA,3150852,92684,578.215,17.009,43130,7.915,0.128,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5449270,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,NA,5.82,77.54,0.86,NA,NA,NA,NA,"","","NAT_TOTAL",2,1,2,1,2,1,3,1,0,NA,2,1,0,NA,2,2,0,2,0,0,2,1,3,2,0,0,4,1,1,1,3,1,NA,1,1,"","",0,0,0,2,5,NA,262688,2065,58.33,58.33,67.86,67.86,70,70,67.5,67.5,87.5,87.5,48.67,19.5,20.5,48.67,19.5,8,8,0,64,422,240,283,818,1658,696,619,9518,1763,12491,662,2354,"2020-04-01",46.45833333333333,87.04
"Slovenia","SVN","2020-12-30","Europe",119740,2435,1400.857,2665,34,30.143,57602.672,1171.392,673.903,1282.037,16.356,14.501,1.1,205,98.618,1172,563.808,NA,NA,NA,NA,674423,6011,324.441,2.892,3931,1.891,0.29,3.4,9633,9633,NA,NA,422,1145,0.46,0.46,NA,NA,551,1145,0.055,2078723,102.619,44.5,19.062,12.93,31400.84,NA,153.493,7.25,20.1,25,NA,4.5,81.32,0.917,NA,NA,NA,NA,"","","NAT_TOTAL",3,1,2,1,2,1,4,1,1,1,2,1,2,1,2,2,1,1,0,0,2,1,2,1,0,0,4,1,2,1,2,1,NA,1,1,"","",0,0,0,1,5,NA,119740,2665,81.48,81.48,84.52,84.52,75.42,75.42,75.48,75.48,75,75,46,15,20.2,46,15,8,8,8,64,477,205,208,708,2373,637,832,6486,1598,10328,682,3010,"2020-03-14",28.458333333333332,89.81
"Spain","ESP","2020-12-30","Europe",1910218,16716,9704.143,50689,247,141.571,40864.464,357.598,207.597,1084.368,5.284,3.029,1.29,2072,44.325,9477,202.737,819,17.521,7582,162.198,22728121,182706,486.213,3.909,118610,2.537,0.117,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46745211,93.105,45.5,19.436,13.799,34272.36,1,99.403,7.17,27.4,31.4,NA,2.97,83.56,0.904,NA,NA,NA,NA,"","","NAT_TOTAL",3,1,2,1,2,1,4,1,0,NA,2,1,2,1,3,2,0,2,0,0,2,1,2,1,0,0,4,1,2,1,1,1,NA,1,1,"","",1,0,0,2,5,NA,1910218,50689,78.7,78.7,78.57,78.57,73.33,73.33,71.31,71.31,87.5,87.5,40,-4,23.8,40,4,8,8,8,64,605,446,464,785,3089,1448,1544,9107,2300,15188,1051,4537,"2020-03-03",17.458333333333332,85.19
"Sweden","SWE","2020-12-30","Europe",437379,8846,5904.429,8727,448,64,43048.44,870.656,581.135,858.943,44.094,6.299,1.41,339,33.366,2906,286.019,NA,NA,NA,NA,4150050,29221,408.463,2.876,32018,3.151,0.1844,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10160159,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,NA,2.22,82.8,0.945,NA,NA,NA,NA,"","","NAT_TOTAL",2,0,2,1,2,1,4,1,1,1,1,1,1,1,3,2,0,1,0,0,2,1,2,1,0,0,0,NA,2,1,3,0,NA,1,1,"","",0,0,0,1,5,NA,437379,8727,69.44,69.44,76.19,76.19,61.88,61.88,61.79,61.79,62.5,62.5,62,15,20.6,62,15,8,1,1,0,327,281,137,0,549,281,137,0,745,967,608,830,"2020-03-10",24.458333333333332,69.44
"Switzerland","CHE","2020-12-30","Europe",447905,5424,3515.143,7796,93,84.714,51391.809,622.34,403.321,894.499,10.671,9.72,1.02,424,48.649,2629,301.647,NA,NA,1138,130.572,3264856,28334,374.604,3.251,23187,2.66,0.153,6.5,6130,6029,11,NA,1673,814,0.07,0.07,0,NA,93,803,0.009,8715494,214.243,43.1,18.436,12.644,57410.166,NA,99.739,5.59,22.6,28.9,NA,4.53,83.78,0.955,NA,NA,NA,NA,"","","NAT_TOTAL",2,1,2,1,2,1,4,1,0,NA,1,1,0,NA,3,2,0,0,0,0,2,1,2,2,0,0,3,1,1,1,2,1,NA,1,1,"","65-69 yrs",0,0,0,0,5,NA,447905,7796,60.19,60.19,67.86,67.86,59.06,59.06,62.14,62.14,37.5,37.5,47,8,19.5,47,8,8,1,0,27,583,170,81,528,3067,170,81,3486,1362,6804,753,3237,"2020-03-06",20.458333333333332,73.15
"Ukraine","UKR","2020-12-30","Europe",1076880,8404,8383,19058,257,176.429,24774.758,193.343,192.86,438.449,5.913,4.059,0.84,NA,NA,NA,NA,NA,NA,NA,NA,5585615,74436,128.503,1.712,33828,0.778,0.2478,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43466822,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,NA,8.8,72.06,0.779,NA,NA,NA,NA,"","","NAT_TOTAL",2,1,2,1,1,1,3,1,1,1,1,1,0,NA,2,1,0,1,0,0,2,1,3,2,0,0,2,1,0,NA,2,1,NA,0,0,"","",NA,NA,NA,NA,0,NA,1076880,19058,54.63,54.63,70.95,70.95,55.21,55.21,57.74,57.74,37.5,37.5,49,32,24.1,49,32,8,1,0,8,536,290,564,804,2018,290,2256,7146,2194,11710,826,2308,"2020-03-13",27.458333333333332,88.89
"United Kingdom","GBR","2020-12-30","Europe",2435886,50042,40513.857,72605,981,500,35713.078,733.677,593.983,1064.478,14.383,7.331,1.27,2066,30.29,26552,389.285,NA,NA,19341,283.563,48630072,403384,712.977,5.914,368037,5.396,0.1101,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68207114,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.932,NA,NA,NA,NA,"","","NAT_TOTAL",3,0,3,0,2,1,4,1,1,1,2,0,2,0,3,2,1,2,0,0,2,1,2,1,0,0,3,1,3,1,3,1,NA,1,1,"80+ yrs","80+ yrs",0,0,0,2,5,NA,2432888,72548,79.63,79.63,79.76,79.76,79.27,79.27,76.31,76.31,100,100,54,-2,27.8,54,2,27,8,8,27,660,366,517,575,3900,834,1915,4175,2118,10824,1026,4734,"2020-03-06",20.458333333333332,79.63
