"iso_code","continent","location","date","c2_workplace_closing","c2_workplace_closing_cubed","cum_c2_workplace_closing","cum_c2_workplace_closing_cubed","c6_stay_at_home_requirements","c6_stay_at_home_requirements_cubed","cum_c6_stay_at_home_requirements","cum_c6_stay_at_home_requirements_cubed","c7_restrictions_on_internal_movement","c7_restrictions_on_internal_movement_cubed","cum_c7_restrictions_on_internal_movement","cum_c7_restrictions_on_internal_movement_cubed","h6_facial_coverings","h6_facial_coverings_cubed","cum_h6_facial_coverings","cum_h6_facial_coverings_cubed","total_restrictions","total_restrictions_cubed","total_deaths_per_million","stringency_index_for_display","government_response_index_for_display","containment_health_index_for_display","economic_support_index_for_display","date_first_death_days","max_stringency","population_density","obesity_prevalence"
"SWE","Europe","Sweden","2021-12-30",1,1,683,1817,0,0,553,553,0,0,333,333,0,0,291,987,1860,3690,1506.866,49.07,45.31,48.21,25,24.458333333333332,69.44,24.718,20.6
"CHE","Europe","Switzerland","2021-12-30",2,8,1313,5987,0,0,347,347,0,0,81,81,3,27,1420,9484,3161,15899,1400.494,52.78,59.9,63.1,37.5,20.458333333333332,73.15,214.243,19.5
"SYR","Asia","Syria","2021-12-30",1,1,1118,5276,1,1,468,1458,0,0,940,3580,3,27,1000,6928,3526,17242,158.298,37.96,34.38,39.29,0,43.45833333333333,87.04,NA,27.8
"TJK","Asia","Tajikistan","2021-12-30",1,1,352,622,0,0,54,72,0,0,128,314,3,27,1928,21008,2462,22016,12.821,29.63,29.69,33.93,0,78.45833333333333,69.44,64.281,14.2
"TZA","Africa","Tanzania","2021-12-30",0,0,21,21,0,0,21,21,0,0,21,21,1,1,780,2508,843,2571,11.984,8.33,23.44,21.43,37.5,45.45833333333333,52.78,64.699,8.4
"THA","Asia","Thailand","2021-12-30",1,1,938,3314,0,0,767,1649,1,1,987,3039,3,27,1989,22221,4681,30223,309.818,43.52,59.37,57.14,75,15.458333333333332,76.85,135.132,10
"TGO","Africa","Togo","2021-12-30",1,1,888,3270,1,1,490,1060,0,0,922,3406,4,64,2072,27110,4372,34846,29.015,21.76,44.53,40.18,75,41.45833333333333,73.15,143.366,8.4
"TON","Oceania","Tonga","2021-12-30",0,0,21,189,2,8,510,2040,0,0,14,56,2,8,314,1256,859,3541,NA,47.22,45.31,51.79,0,756.4583333333333,82.87,150.028,48.2
"TTO","North America","Trinidad and Tobago","2021-12-30",2,8,1399,7483,0,0,580,2020,0,0,535,2047,4,64,2423,36395,4937,47945,2030.82,59.26,61.46,66.67,25,39.45833333333333,92.59,266.886,18.6
"TUN","Africa","Tunisia","2021-12-30",0,0,822,3786,0,0,849,3297,0,0,714,2760,3,27,1656,19188,4041,29031,2141.128,16.67,32.81,30.36,50,33.45833333333333,90.74,74.228,26.9
"TUR","Asia","Turkey","2021-12-30",2,8,1165,4489,0,0,819,2739,2,8,953,3107,4,64,2288,36608,5225,46943,966.549,51.85,43.75,50,0,31.458333333333332,87.04,104.914,32.1
"UGA","Africa","Uganda","2021-12-30",2,8,1334,5966,2,8,1261,4981,2,8,858,3270,3,27,1944,22758,5397,36975,69.838,73.15,62.29,71.19,0,160.45833333333331,93.52,213.759,5.3
"UKR","Europe","Ukraine","2021-12-30",1,1,1120,4504,0,0,469,469,2,8,1054,4078,2,8,1745,14345,4388,23396,2343.097,51.85,58.33,59.52,50,27.458333333333332,88.89,77.39,24.1
"ARE","Asia","United Arab Emirates","2021-12-30",1,1,945,2595,0,0,138,378,2,8,874,2554,2,8,1879,17917,3836,23444,216.393,58.33,56.77,64.88,0,34.45833333333333,89.81,112.442,31.7
"GBR","Europe","United Kingdom","2021-12-30",2,8,1492,8758,0,0,570,1650,0,0,778,2806,3,27,1670,14030,4510,27244,2177.691,48.61,51.04,54.76,25,20.458333333333332,87.96,272.898,27.8
"USA","North America","United States","2021-12-30",2,8,1278,6282,1,1,904,2392,1,1,1111,3835,3,27,2179,26335,5472,38844,2478.557,53.24,52.6,60.12,0,14.458333333333332,75.46,35.608,36.2
"URY","South America","Uruguay","2021-12-30",1,1,908,2612,0,0,437,503,0,0,366,534,2,8,1164,4656,2875,8305,1770.081,28.7,44.79,45.83,37.5,42.45833333333333,87.04,19.751,27.9
"UZB","Asia","Uzbekistan","2021-12-30",0,0,590,2612,1,1,489,1335,1,1,488,1568,3,27,1815,15105,3382,20620,43.759,44.44,51.56,48.21,75,41.45833333333333,93.52,76.134,16.6
"VUT","Oceania","Vanuatu","2021-12-30",0,0,0,0,0,0,0,0,0,0,96,384,0,0,57,57,153,441,3.18,19.44,25.52,29.17,0,431.4583333333333,30.56,22.662,25.2
"VEN","South America","Venezuela","2021-12-30",0,0,1641,13149,0,0,1231,5563,0,0,1100,4016,2,8,2313,31491,6285,54219,185.473,28.7,31.77,36.31,0,41.45833333333333,97.22,36.253,25.6
"VNM","Asia","Vietnam","2021-12-30",2,8,1396,7564,2,8,919,3529,2,8,1070,3872,3,27,1719,13011,5104,27976,327.68,68.52,65.1,74.4,0,167.45833333333331,96.3,308.127,2.1
"YEM","Asia","Yemen","2021-12-30",1,1,537,981,2,8,970,3778,0,0,607,1339,1,1,612,1620,2726,7718,65.069,26.85,22.5,25.71,0,75.45833333333333,64.81,53.508,17.1
"ZMB","Africa","Zambia","2021-12-30",1,1,848,3212,0,0,223,361,0,0,157,301,3,27,1865,16715,3093,20589,197.139,37.96,41.98,42.62,37.5,47.45833333333333,70.83,22.995,8.1
"ZWE","Africa","Zimbabwe","2021-12-30",1,1,1089,5253,2,8,1174,4330,0,0,974,3740,3,27,1947,22863,5184,36186,331.099,52.78,54.17,61.9,0,37.45833333333333,87.96,42.729,15.5
